,Id,DateTime,LoanSerialNumber,IssuedDate,UserId,MainDebt,Status,Scor_Scorista,Scor_Scorista_Issued,FPD_30,Surplus_insur_60,Surplus_60,ltv_60,DPD_20_75,IsIssued
22,22,2023-01-01 22:00:00,0,2023-01-01 22:00:00,USER-22,27369.820245775434,LoanReturned,536.1506512140473,725.1271705511499,0.0,0.019324955520912245,0.5958680771804316,0.7365219928794529,0.0,1
23,23,2023-01-01 23:00:00,0,2023-01-01 23:00:00,USER-23,1238.4708102778543,Rejected,672.9437306050122,619.005509683583,,,,,,0
24,24,2023-01-02 00:00:00,0,2023-01-02 00:00:00,USER-24,22346.382185775477,Rejected,722.1627092684043,385.03352975787857,,,,,,0
25,25,2023-01-02 01:00:00,0,2023-01-02 01:00:00,USER-25,5412.288720665979,LoanReturned,561.5573059688251,583.4661342662858,0.0,1.457852167173407,0.30855461328797446,1.0281068797943327,0.0,1
26,26,2023-01-02 02:00:00,0,2023-01-02 02:00:00,USER-26,27454.6590379884,Cancellation,417.70049594144825,443.60980747179485,,,,,,0
27,27,2023-01-02 03:00:00,0,2023-01-02 03:00:00,USER-27,26891.082248106686,Cancellation,725.3197534990918,438.7773884986882,,,,,,0
28,28,2023-01-02 04:00:00,0,2023-01-02 04:00:00,USER-28,19963.133244708464,Cancellation,476.1932011804952,756.241087160367,,,,,,0
29,29,2023-01-02 05:00:00,0,2023-01-02 05:00:00,USER-29,20494.79034421755,Cancellation,396.31092311162166,509.3544331776891,,,,,,0
30,30,2023-01-02 06:00:00,0,2023-01-02 06:00:00,USER-30,1154.8351171209679,Rejected,647.4021044587573,547.8980918649422,,,,,,0
31,31,2023-01-02 07:00:00,0,2023-01-02 07:00:00,USER-31,29561.27541729446,Cancellation,349.7495168446927,763.630605779065,,,,,,0
32,32,2023-01-02 08:00:00,0,2023-01-02 08:00:00,USER-32,26457.145503698615,Rejected,834.2439712973302,348.2848441453634,,,,,,0
33,33,2023-01-02 09:00:00,2,2023-01-02 09:00:00,USER-33,26958.080546172667,LoanReturned,647.8184954266753,627.0398192000773,0.0,1.2047968052769176,0.36796972479275525,0.9966654970453164,0.0,1
34,34,2023-01-02 10:00:00,3,2023-01-02 10:00:00,USER-34,20118.091574475286,Cancellation,842.2425365069657,618.0186247551708,,,,,,0
35,35,2023-01-02 11:00:00,0,2023-01-02 11:00:00,USER-35,10998.82093098156,Rejected,486.3913829132498,533.8680130966713,,,,,,0
36,36,2023-01-02 12:00:00,0,2023-01-02 12:00:00,USER-36,26915.810823623942,Rejected,834.1628386547188,756.3760527832511,,,,,,0
37,37,2023-01-02 13:00:00,0,2023-01-02 13:00:00,USER-37,9453.990916384579,Cancellation,380.05923625074297,818.589533734631,,,,,,0
38,38,2023-01-02 14:00:00,0,2023-01-02 14:00:00,USER-38,17318.634756923882,Rejected,322.38212479086565,555.9347240524859,,,,,,0
39,39,2023-01-02 15:00:00,0,2023-01-02 15:00:00,USER-39,3892.1981979725897,Cancellation,318.1412332500314,550.8808780491198,,,,,,0
40,40,2023-01-02 16:00:00,0,2023-01-02 16:00:00,USER-40,27736.713273849757,Cancellation,555.6787038295749,576.1350513189096,,,,,,0
41,41,2023-01-02 17:00:00,0,2023-01-02 17:00:00,USER-41,5082.343275365187,Rejected,345.65230861322715,697.7182169581838,,,,,,0
42,42,2023-01-02 18:00:00,0,2023-01-02 18:00:00,USER-42,7522.0073661818105,Rejected,581.6923362921809,667.4331598844293,,,,,,0
43,43,2023-01-02 19:00:00,1,2023-01-02 19:00:00,USER-43,17185.890585718233,LoanReturned,480.1252769298952,422.5592220637879,0.0,0.17987811847824006,0.3565112224915141,0.5730655251857967,0.0,1
44,44,2023-01-02 20:00:00,0,2023-01-02 20:00:00,USER-44,23158.697006176466,Cancellation,484.59594586076355,335.14244172963885,,,,,,0
45,45,2023-01-02 21:00:00,0,2023-01-02 21:00:00,USER-45,18961.18787215267,Rejected,649.5849480998434,822.0897713992341,,,,,,0
46,46,2023-01-02 22:00:00,0,2023-01-02 22:00:00,USER-46,7731.883471204529,LoanReturned,389.7039033833911,443.58836785353736,0.0,1.593605341213097,0.6283964317400474,1.1839748814736426,0.0,1
47,47,2023-01-02 23:00:00,0,2023-01-02 23:00:00,USER-47,1027.3482332972196,Cancellation,721.604353686852,651.2281765798255,,,,,,0
48,48,2023-01-03 00:00:00,0,2023-01-03 00:00:00,USER-48,22957.366828915736,Rejected,620.1170058782491,755.6409015090474,,,,,,0
49,49,2023-01-03 01:00:00,0,2023-01-03 01:00:00,USER-49,29571.012451421717,Rejected,803.219545866131,465.15221280095244,,,,,,0
50,50,2023-01-03 02:00:00,3,2023-01-03 02:00:00,USER-50,24487.480488876623,Cancellation,500.66235957213786,649.4883775113108,,,,,,0
51,51,2023-01-03 03:00:00,0,2023-01-03 03:00:00,USER-51,14345.991926541845,Rejected,840.493245636919,359.3451326320737,,,,,,0
52,52,2023-01-03 04:00:00,2,2023-01-03 04:00:00,USER-52,27209.25058057409,Rejected,616.7052056927128,833.4622944066134,,,,,,0
53,53,2023-01-03 05:00:00,1,2023-01-03 05:00:00,USER-53,12885.58252043215,Rejected,835.3710759031436,331.9870512778442,,,,,,0
54,54,2023-01-03 06:00:00,0,2023-01-03 06:00:00,USER-54,16223.088443060558,Rejected,314.8833597259134,540.996070612537,,,,,,0
55,55,2023-01-03 07:00:00,1,2023-01-03 07:00:00,USER-55,14836.763254474814,Rejected,700.3869773268134,595.2505831330128,,,,,,0
56,56,2023-01-03 08:00:00,0,2023-01-03 08:00:00,USER-56,13981.092307300223,Cancellation,749.141838361005,734.7649782648502,,,,,,0
57,57,2023-01-03 09:00:00,0,2023-01-03 09:00:00,USER-57,23480.532309523267,Cancellation,329.2453076720682,366.6206843898317,,,,,,0
58,58,2023-01-03 10:00:00,0,2023-01-03 10:00:00,USER-58,16276.298310815268,Rejected,618.4333152089351,542.4443856203471,,,,,,0
59,59,2023-01-03 11:00:00,0,2023-01-03 11:00:00,USER-59,10184.796538731265,Rejected,741.0682614741966,464.8413632488988,,,,,,0
60,60,2023-01-03 12:00:00,0,2023-01-03 12:00:00,USER-60,8486.586862095872,Rejected,608.57129887269,471.60589363133704,,,,,,0
61,61,2023-01-03 13:00:00,0,2023-01-03 13:00:00,USER-61,2094.6721920555683,Rejected,335.09747472300666,728.3333538358879,,,,,,0
62,62,2023-01-03 14:00:00,0,2023-01-03 14:00:00,USER-62,17912.659694608334,Rejected,681.3959824940713,303.00351976750824,,,,,,0
63,63,2023-01-03 15:00:00,0,2023-01-03 15:00:00,USER-63,7668.881046629992,Rejected,333.32830307031975,711.9960027347814,,,,,,0
64,64,2023-01-03 16:00:00,0,2023-01-03 16:00:00,USER-64,5295.88373847511,Rejected,749.6078922590411,745.7191365677083,,,,,,0
65,65,2023-01-03 17:00:00,0,2023-01-03 17:00:00,USER-65,19961.068951002653,Rejected,323.6688008186819,795.749234113138,,,,,,0
66,66,2023-01-03 18:00:00,0,2023-01-03 18:00:00,USER-66,20755.068476824916,LoanReturned,375.5685595557039,644.784991776766,1.0,1.1422848099768341,0.5856928774976611,1.0264974779191989,1.0,1
67,67,2023-01-03 19:00:00,0,2023-01-03 19:00:00,USER-67,22812.49187547231,Rejected,451.3091747877977,483.4004305497327,,,,,,0
68,68,2023-01-03 20:00:00,0,2023-01-03 20:00:00,USER-68,15603.729993819154,Rejected,648.3506357434401,534.9791029018788,,,,,,0
69,69,2023-01-03 21:00:00,6,2023-01-03 21:00:00,USER-69,26927.58355091271,Rejected,836.9975047972183,833.3548452580861,,,,,,0
70,70,2023-01-03 22:00:00,0,2023-01-03 22:00:00,USER-70,28153.939848548605,Rejected,364.8025689409639,784.6527545397187,,,,,,0
71,71,2023-01-03 23:00:00,0,2023-01-03 23:00:00,USER-71,24413.757253982192,Cancellation,378.48921806765514,554.9392500046931,,,,,,0
72,72,2023-01-04 00:00:00,0,2023-01-04 00:00:00,USER-72,19432.21097823743,Rejected,502.8787181855392,818.6846539110073,,,,,,0
73,73,2023-01-04 01:00:00,0,2023-01-04 01:00:00,USER-73,9807.907654144472,Rejected,759.9205257654262,752.6251814735524,,,,,,0
74,74,2023-01-04 02:00:00,0,2023-01-04 02:00:00,USER-74,29505.402726986413,Rejected,556.9770240129478,795.5994239128871,,,,,,0
75,75,2023-01-04 03:00:00,0,2023-01-04 03:00:00,USER-75,8949.948848566211,Rejected,476.88583014070196,675.6374790167565,,,,,,0
76,76,2023-01-04 04:00:00,0,2023-01-04 04:00:00,USER-76,6877.0507377225,Cancellation,608.6621077148736,771.7097239040972,,,,,,0
77,77,2023-01-04 05:00:00,0,2023-01-04 05:00:00,USER-77,13822.4692998109,Rejected,443.28775859516253,790.4713777338791,,,,,,0
78,78,2023-01-04 06:00:00,0,2023-01-04 06:00:00,USER-78,2648.3765506592654,Rejected,520.6379489861365,350.6091214973693,,,,,,0
79,79,2023-01-04 07:00:00,0,2023-01-04 07:00:00,USER-79,29376.339475481935,LoanReturned,482.93283207762306,830.8693371633622,0.0,0.18877402401475712,0.8312680983401586,0.6144032815940098,0.0,1
80,80,2023-01-04 08:00:00,0,2023-01-04 08:00:00,USER-80,18064.57313607632,Rejected,742.2775623280552,483.4872043202348,,,,,,0
81,81,2023-01-04 09:00:00,0,2023-01-04 09:00:00,USER-81,17151.61065826108,Rejected,808.3406495409004,541.9447302708455,,,,,,0
82,82,2023-01-04 10:00:00,0,2023-01-04 10:00:00,USER-82,20018.092117091877,Cancellation,717.7647056863016,735.5470675560484,,,,,,0
83,83,2023-01-04 11:00:00,0,2023-01-04 11:00:00,USER-83,15413.685785538994,Rejected,541.4959668164909,665.6929680648738,,,,,,0
84,84,2023-01-04 12:00:00,0,2023-01-04 12:00:00,USER-84,1929.841995741706,Cancellation,577.3842376231651,791.1829518398315,,,,,,0
85,85,2023-01-04 13:00:00,0,2023-01-04 13:00:00,USER-85,18757.027376371505,Rejected,368.7905316611896,520.3155629272246,,,,,,0
86,86,2023-01-04 14:00:00,0,2023-01-04 14:00:00,USER-86,21769.04243173649,Cancellation,710.7755911239958,505.3084900218872,,,,,,0
87,87,2023-01-04 15:00:00,0,2023-01-04 15:00:00,USER-87,13085.722758097541,Cancellation,628.0616236672743,317.4288672477258,,,,,,0
88,88,2023-01-04 16:00:00,1,2023-01-04 16:00:00,USER-88,22961.571590064596,Rejected,796.3419978755901,554.4989571683119,,,,,,0
89,89,2023-01-04 17:00:00,0,2023-01-04 17:00:00,USER-89,7583.037680814198,Rejected,410.3361289663343,698.2389236810097,,,,,,0
90,90,2023-01-04 18:00:00,0,2023-01-04 18:00:00,USER-90,7417.021140919337,Rejected,717.8493670629366,465.64829469441884,,,,,,0
91,91,2023-01-04 19:00:00,0,2023-01-04 19:00:00,USER-91,5681.092642939645,Rejected,676.5694139455543,554.4995825206128,,,,,,0
92,92,2023-01-04 20:00:00,0,2023-01-04 20:00:00,USER-92,11787.848033885693,Rejected,446.2150435953637,420.6687726669029,,,,,,0
93,93,2023-01-04 21:00:00,0,2023-01-04 21:00:00,USER-93,25563.349026283424,LoanReturned,667.0582517474538,725.0332932293034,0.0,1.4629411130715764,0.13981603479395371,0.5871475996509736,0.0,1
94,94,2023-01-04 22:00:00,0,2023-01-04 22:00:00,USER-94,25009.449802322866,Rejected,808.4053593171573,333.2813587376309,,,,,,0
95,95,2023-01-04 23:00:00,0,2023-01-04 23:00:00,USER-95,12101.90203094161,Rejected,805.1397932169155,687.960680250274,,,,,,0
96,96,2023-01-05 00:00:00,0,2023-01-05 00:00:00,USER-96,18084.44334342686,Rejected,695.7946159838777,508.41700645974095,,,,,,0
97,97,2023-01-05 01:00:00,0,2023-01-05 01:00:00,USER-97,21903.673177772554,Rejected,326.4402118937331,322.8778381629164,,,,,,0
98,98,2023-01-05 02:00:00,0,2023-01-05 02:00:00,USER-98,7994.996464212666,Rejected,779.7453855260889,769.4082730104822,,,,,,0
99,99,2023-01-05 03:00:00,0,2023-01-05 03:00:00,USER-99,5876.091490947665,Cancellation,661.7782338524969,568.2470247496408,,,,,,0
100,100,2023-01-05 04:00:00,0,2023-01-05 04:00:00,USER-100,29190.783803157017,Rejected,470.73883925050393,629.6254332888709,,,,,,0
101,101,2023-01-05 05:00:00,0,2023-01-05 05:00:00,USER-101,18909.162083078936,Cancellation,402.9876989381346,702.6168803384512,,,,,,0
102,102,2023-01-05 06:00:00,0,2023-01-05 06:00:00,USER-102,29461.055933176252,LoanReturned,363.9121246485244,660.2909381506538,0.0,0.8175382488416605,0.8718755038563928,0.5612828203823612,0.0,1
103,103,2023-01-05 07:00:00,0,2023-01-05 07:00:00,USER-103,10794.923626834643,LoanReturned,327.6302945917685,701.9712789480363,0.0,0.4728272731137042,0.03276913243471857,1.0122520666612596,0.0,1
104,104,2023-01-05 08:00:00,1,2023-01-05 08:00:00,USER-104,21387.919299249814,Rejected,714.756786372916,719.2549265178218,,,,,,0
105,105,2023-01-05 09:00:00,0,2023-01-05 09:00:00,USER-105,7455.5054596958935,Cancellation,429.7136494188014,624.0333418105361,,,,,,0
106,106,2023-01-05 10:00:00,0,2023-01-05 10:00:00,USER-106,8574.804966943475,Rejected,313.3391148237903,501.1008069992662,,,,,,0
107,107,2023-01-05 11:00:00,0,2023-01-05 11:00:00,USER-107,15845.161516819095,Rejected,518.4988585130941,433.72818234398846,,,,,,0
108,108,2023-01-05 12:00:00,0,2023-01-05 12:00:00,USER-108,10268.925639734065,Rejected,565.4338943257865,796.596780159033,,,,,,0
109,109,2023-01-05 13:00:00,0,2023-01-05 13:00:00,USER-109,5861.025351376949,Rejected,393.0766269950698,833.4586645510211,,,,,,0
110,110,2023-01-05 14:00:00,0,2023-01-05 14:00:00,USER-110,8623.540357690454,Rejected,324.2265848894024,496.71451530401487,,,,,,0
111,111,2023-01-05 15:00:00,0,2023-01-05 15:00:00,USER-111,2036.7034395100745,Rejected,404.0190157039379,361.7709009897651,,,,,,0
112,112,2023-01-05 16:00:00,1,2023-01-05 16:00:00,USER-112,21428.28502284711,Rejected,673.5065190101159,422.3955299140372,,,,,,0
113,113,2023-01-05 17:00:00,0,2023-01-05 17:00:00,USER-113,15271.383055489987,Rejected,345.23402248816353,668.8670402929542,,,,,,0
114,114,2023-01-05 18:00:00,0,2023-01-05 18:00:00,USER-114,3733.048925731243,Rejected,605.2703668063466,395.1133534770819,,,,,,0
115,115,2023-01-05 19:00:00,0,2023-01-05 19:00:00,USER-115,5979.125800726245,Rejected,380.5265933494917,729.0672501835435,,,,,,0
116,116,2023-01-05 20:00:00,0,2023-01-05 20:00:00,USER-116,3973.5016052666765,LoanReturned,407.6290454692307,807.6666319310925,0.0,1.4025697853955525,0.3860626925104814,0.6654005923306301,0.0,1
117,117,2023-01-05 21:00:00,0,2023-01-05 21:00:00,USER-117,18765.191440000417,Rejected,516.1928357966842,830.0083332933659,,,,,,0
118,118,2023-01-05 22:00:00,1,2023-01-05 22:00:00,USER-118,3732.10054476232,Cancellation,355.4539348295522,305.12902828618985,,,,,,0
119,119,2023-01-05 23:00:00,0,2023-01-05 23:00:00,USER-119,22874.187658021267,LoanReturned,395.26192653021707,826.9847907249291,0.0,1.2553589712744908,0.7532070209691855,0.5510775966282546,0.0,1
120,120,2023-01-06 00:00:00,0,2023-01-06 00:00:00,USER-120,1594.816660291344,Rejected,491.92382629824476,707.1069305212898,,,,,,0
121,121,2023-01-06 01:00:00,1,2023-01-06 01:00:00,USER-121,8231.89785188087,Rejected,481.31795302410177,346.22762774509124,,,,,,0
122,122,2023-01-06 02:00:00,0,2023-01-06 02:00:00,USER-122,26829.33360086531,Rejected,712.0993171216526,528.3822578282995,,,,,,0
123,123,2023-01-06 03:00:00,0,2023-01-06 03:00:00,USER-123,21837.408225545136,Rejected,341.1302678195334,685.02501101873,,,,,,0
124,124,2023-01-06 04:00:00,0,2023-01-06 04:00:00,USER-124,3116.081654844944,Rejected,773.2479046164889,826.1770209635771,,,,,,0
125,125,2023-01-06 05:00:00,0,2023-01-06 05:00:00,USER-125,24812.65703007021,Cancellation,748.9276939067001,390.27776648626593,,,,,,0
126,126,2023-01-06 06:00:00,0,2023-01-06 06:00:00,USER-126,15298.018524665938,Rejected,721.2954018305661,370.2533050598247,,,,,,0
127,127,2023-01-06 07:00:00,0,2023-01-06 07:00:00,USER-127,25556.707787896048,Cancellation,470.15479935472285,559.7908792940332,,,,,,0
128,128,2023-01-06 08:00:00,0,2023-01-06 08:00:00,USER-128,18421.45345906141,LoanReturned,752.5849820474332,832.4543915561691,0.0,1.0591744636449067,1.030404455076986,0.795279326599698,0.0,1
129,129,2023-01-06 09:00:00,0,2023-01-06 09:00:00,USER-129,20773.157928952904,Rejected,400.5411441591044,834.2585683919058,,,,,,0
130,130,2023-01-06 10:00:00,0,2023-01-06 10:00:00,USER-130,29811.545251475534,LoanReturned,368.42506322026554,425.35310757910014,0.0,1.5274723586256973,1.1568984354218959,0.996088901980285,0.0,1
131,131,2023-01-06 11:00:00,0,2023-01-06 11:00:00,USER-131,7737.730831796527,Cancellation,324.72598341921804,475.64093138430155,,,,,,0
132,132,2023-01-06 12:00:00,0,2023-01-06 12:00:00,USER-132,19094.421668080264,Rejected,816.6206996530667,799.41759210456,,,,,,0
133,133,2023-01-06 13:00:00,0,2023-01-06 13:00:00,USER-133,14349.320311664553,LoanReturned,469.40599373790053,704.1628199686353,0.0,1.4641756771158874,0.05334197439957089,0.7131894910923077,0.0,1
134,134,2023-01-06 14:00:00,2,2023-01-06 14:00:00,USER-134,2144.1066347580518,Cancellation,804.6898340978482,834.77403576169,,,,,,0
135,135,2023-01-06 15:00:00,0,2023-01-06 15:00:00,USER-135,1419.648603583086,Cancellation,449.93745883563133,791.2315996585548,,,,,,0
136,136,2023-01-06 16:00:00,0,2023-01-06 16:00:00,USER-136,4457.6287567179015,Cancellation,799.1612776349923,418.3028276725588,,,,,,0
137,137,2023-01-06 17:00:00,0,2023-01-06 17:00:00,USER-137,19823.660475617897,Cancellation,797.1609790653486,717.8497726769758,,,,,,0
138,138,2023-01-06 18:00:00,0,2023-01-06 18:00:00,USER-138,17447.729549488373,Rejected,808.0218247558921,326.7108773580641,,,,,,0
139,139,2023-01-06 19:00:00,3,2023-01-06 19:00:00,USER-139,17049.457273748096,LoanReturned,572.8843916063065,749.8080283078107,0.0,0.385545819356314,0.8062303319504909,0.8378519006925873,0.0,1
140,140,2023-01-06 20:00:00,2,2023-01-06 20:00:00,USER-140,1923.8461133195424,Rejected,776.2704577393906,630.8562193445345,,,,,,0
141,141,2023-01-06 21:00:00,0,2023-01-06 21:00:00,USER-141,14609.786894440205,Cancellation,822.9212428920262,825.855529450054,,,,,,0
142,142,2023-01-06 22:00:00,0,2023-01-06 22:00:00,USER-142,27814.061717433327,Rejected,478.5393180434487,828.0178505079931,,,,,,0
143,143,2023-01-06 23:00:00,0,2023-01-06 23:00:00,USER-143,12530.164210008752,Rejected,530.3809231254053,327.9483099633954,,,,,,0
144,144,2023-01-07 00:00:00,0,2023-01-07 00:00:00,USER-144,19122.751623865235,Rejected,695.5821030346592,388.2868170556723,,,,,,0
145,145,2023-01-07 01:00:00,0,2023-01-07 01:00:00,USER-145,23614.74159307116,Rejected,465.19790194781547,566.3138760252804,,,,,,0
146,146,2023-01-07 02:00:00,0,2023-01-07 02:00:00,USER-146,23733.83309511474,Rejected,714.5951199019624,783.721438720382,,,,,,0
147,147,2023-01-07 03:00:00,0,2023-01-07 03:00:00,USER-147,16059.12238946287,Cancellation,340.6406798674437,747.9448282628309,,,,,,0
148,148,2023-01-07 04:00:00,0,2023-01-07 04:00:00,USER-148,25880.606416667753,Rejected,587.9241113586982,830.4035144934783,,,,,,0
149,149,2023-01-07 05:00:00,0,2023-01-07 05:00:00,USER-149,12349.964707548661,Rejected,367.27241624605983,639.9462644112375,,,,,,0
150,150,2023-01-07 06:00:00,1,2023-01-07 06:00:00,USER-150,26772.10322875915,Cancellation,461.327912040172,441.1099357588913,,,,,,0
151,151,2023-01-07 07:00:00,0,2023-01-07 07:00:00,USER-151,7966.587825470814,Cancellation,442.2439658675596,313.8086517278475,,,,,,0
152,152,2023-01-07 08:00:00,0,2023-01-07 08:00:00,USER-152,9126.275802726559,Cancellation,761.4126404594663,422.6095698963019,,,,,,0
153,153,2023-01-07 09:00:00,0,2023-01-07 09:00:00,USER-153,2540.4981017710315,Rejected,406.4344904734086,671.4002588744936,,,,,,0
154,154,2023-01-07 10:00:00,5,2023-01-07 10:00:00,USER-154,24071.873259726202,Cancellation,744.6463560875154,809.4511528386572,,,,,,0
155,155,2023-01-07 11:00:00,0,2023-01-07 11:00:00,USER-155,13094.601850748462,Cancellation,736.6781902493572,476.49701701954564,,,,,,0
156,156,2023-01-07 12:00:00,0,2023-01-07 12:00:00,USER-156,7644.381803430572,Rejected,574.3856805564765,781.6373816591124,,,,,,0
157,157,2023-01-07 13:00:00,0,2023-01-07 13:00:00,USER-157,7721.91805088081,Rejected,428.6137905778713,517.1940365876361,,,,,,0
158,158,2023-01-07 14:00:00,0,2023-01-07 14:00:00,USER-158,27140.598295647764,Cancellation,424.7929869759225,469.54918715270264,,,,,,0
159,159,2023-01-07 15:00:00,0,2023-01-07 15:00:00,USER-159,25183.58141337007,LoanReturned,555.7085559137163,579.8643335432,0.0,1.4937664624483977,0.5316548887839364,0.6348724777330295,0.0,1
160,160,2023-01-07 16:00:00,0,2023-01-07 16:00:00,USER-160,17052.395675358315,Rejected,304.84495406643396,543.2504208252883,,,,,,0
161,161,2023-01-07 17:00:00,0,2023-01-07 17:00:00,USER-161,18867.21321205591,Rejected,592.2429150362514,802.58992768436,,,,,,0
162,162,2023-01-07 18:00:00,0,2023-01-07 18:00:00,USER-162,14755.44154595844,Rejected,824.0287391718805,557.5413210744696,,,,,,0
163,163,2023-01-07 19:00:00,0,2023-01-07 19:00:00,USER-163,12358.329743485458,Rejected,385.0887850244281,452.53446297269153,,,,,,0
164,164,2023-01-07 20:00:00,0,2023-01-07 20:00:00,USER-164,27548.829555331613,LoanReturned,615.3400918115819,763.411067626047,0.0,0.6358677272752998,1.0423633804323922,0.8004039646098764,0.0,1
165,165,2023-01-07 21:00:00,0,2023-01-07 21:00:00,USER-165,4642.76840208876,Cancellation,828.9782787544513,849.3122314127617,,,,,,0
166,166,2023-01-07 22:00:00,0,2023-01-07 22:00:00,USER-166,13134.95690177061,Rejected,773.2871767203801,656.4942805497282,,,,,,0
167,167,2023-01-07 23:00:00,0,2023-01-07 23:00:00,USER-167,10992.295331648385,Rejected,767.7090640097372,437.7537529149972,,,,,,0
168,168,2023-01-08 00:00:00,0,2023-01-08 00:00:00,USER-168,15446.370887283303,Rejected,752.017461717904,431.3482923572486,,,,,,0
169,169,2023-01-08 01:00:00,0,2023-01-08 01:00:00,USER-169,14271.324361810077,Rejected,469.9629833309021,331.7386829183929,,,,,,0
170,170,2023-01-08 02:00:00,0,2023-01-08 02:00:00,USER-170,16047.796417881362,Rejected,789.8392571967468,342.5111711827467,,,,,,0
171,171,2023-01-08 03:00:00,0,2023-01-08 03:00:00,USER-171,5057.650339582829,Cancellation,817.7371931782441,803.2407023505193,,,,,,0
172,172,2023-01-08 04:00:00,0,2023-01-08 04:00:00,USER-172,15881.103543885036,Cancellation,572.6858328144717,353.0679088772528,,,,,,0
173,173,2023-01-08 05:00:00,0,2023-01-08 05:00:00,USER-173,8030.145602729115,Cancellation,495.0140759927023,566.3891165522284,,,,,,0
174,174,2023-01-08 06:00:00,0,2023-01-08 06:00:00,USER-174,6345.609120657547,LoanReturned,527.8259585832209,683.9669788312481,0.0,0.7340163708621309,0.4256696431674512,0.7512595619975917,0.0,1
175,175,2023-01-08 07:00:00,0,2023-01-08 07:00:00,USER-175,2880.1923447995455,Cancellation,483.8135430071961,767.6951305254818,,,,,,0
176,176,2023-01-08 08:00:00,0,2023-01-08 08:00:00,USER-176,23116.924203928087,Rejected,416.83014311349706,394.19902263955,,,,,,0
