date,sku,category,sales_units,sales_revenue
2022-01-31,SKU_082,Пальто,89,1086639.1333388328
2022-01-31,SKU_083,Жакеты,44,470661.28169653873
2022-01-31,SKU_084,Жакеты,45,429701.67354032595
2022-01-31,SKU_085,Пальто,106,725005.652322082
2022-01-31,SKU_086,Пальто,96,1365286.5361873074
2022-01-31,SKU_087,Пальто,79,1157952.760347711
2022-01-31,SKU_088,Пальто,96,546333.3764723572
2022-01-31,SKU_089,Плащи,41,244758.9375635617
2022-01-31,SKU_090,Пуховики,118,980931.4980012716
2022-01-31,SKU_091,Пуховики,116,908223.607623261
2022-01-31,SKU_092,Пальто,94,1403227.019310423
2022-01-31,SKU_093,Пуховики,112,480147.1678982149
2022-01-31,SKU_094,Пуховики,116,259257.64833220546
2022-01-31,SKU_095,Пальто,89,749435.0284672339
2022-01-31,SKU_096,Пуховики,114,493015.25506600924
2022-01-31,SKU_097,Жакеты,46,311148.33318055025
2022-01-31,SKU_098,Куртки,103,1202444.330372737
2022-01-31,SKU_099,Куртки,139,1580738.4431235977
2022-01-31,SKU_100,Пальто,92,552440.7070554575
2022-01-31,SKU_101,Плащи,29,262537.6669191971
2022-01-31,SKU_102,Пальто,87,749468.7209046375
2022-01-31,SKU_103,Плащи,26,267080.42494683265
2022-01-31,SKU_104,Куртки,114,599184.4151734757
2022-01-31,SKU_105,Пальто,92,889485.5336824104
2022-01-31,SKU_106,Жакеты,26,382865.78609695303
2022-01-31,SKU_107,Пуховики,127,1057611.2945360604
2022-01-31,SKU_108,Плащи,29,399599.24296989484
2022-01-31,SKU_109,Пуховики,130,994126.4777126245
2022-01-31,SKU_110,Пуховики,112,733714.1616034477
2022-01-31,SKU_111,Пальто,83,862066.5276309795
2022-01-31,SKU_112,Пуховики,111,1187257.4180938527
2022-01-31,SKU_113,Жакеты,49,648474.7389508022
2022-01-31,SKU_114,Пуховики,113,564142.1590468448
2022-01-31,SKU_115,Пальто,90,764056.2544651601
2022-01-31,SKU_116,Жакеты,51,481238.7840756884
2022-01-31,SKU_117,Куртки,99,1187129.0164122195
2022-01-31,SKU_118,Пуховики,124,318289.28006814717
2022-01-31,SKU_119,Пальто,88,1313765.7843521582
2022-01-31,SKU_120,Куртки,121,981222.7205077533
2022-01-31,SKU_121,Куртки,134,754994.1154099534
2022-01-31,SKU_122,Плащи,30,404562.668683841
2022-01-31,SKU_123,Жакеты,33,386771.3540019906
2022-01-31,SKU_124,Пуховики,122,1755571.9493799899
2022-01-31,SKU_125,Пальто,105,661474.1658752512
2022-01-31,SKU_126,Плащи,28,257206.44792811832
2022-01-31,SKU_127,Жакеты,50,471990.1049610449
2022-01-31,SKU_128,Плащи,34,501306.56000249216
2022-01-31,SKU_129,Жакеты,31,92364.54117046966
2022-01-31,SKU_130,Жакеты,46,274806.8175337348
2022-01-31,SKU_131,Пуховики,111,497484.61794994934
2022-01-31,SKU_132,Жакеты,41,225097.09872245355
2022-01-31,SKU_133,Плащи,27,224333.2358709868
2022-01-31,SKU_134,Жакеты,42,287487.0294333509
2022-01-31,SKU_135,Пуховики,109,777277.808469022
2022-01-31,SKU_136,Пуховики,118,1531022.9578741617
2022-01-31,SKU_137,Плащи,30,422706.5655762244
2022-01-31,SKU_138,Куртки,128,373172.4417336411
2022-01-31,SKU_139,Куртки,112,528185.6528479644
2022-01-31,SKU_140,Жакеты,45,482618.9573420696
2022-01-31,SKU_141,Пальто,86,572967.1014891112
2022-01-31,SKU_142,Жакеты,35,185644.46032673112
2022-01-31,SKU_143,Плащи,25,145969.44123615508
2022-01-31,SKU_144,Плащи,28,173408.47818285058
2022-01-31,SKU_145,Плащи,28,364915.8053525815
2022-01-31,SKU_146,Плащи,26,98178.01002740575
2022-01-31,SKU_147,Плащи,35,392554.50359410397
2022-01-31,SKU_148,Пуховики,122,1120772.4833759416
2022-01-31,SKU_149,Куртки,108,632300.2416815091
2022-01-31,SKU_150,Плащи,28,208800.23174644465
2022-02-28,SKU_001,Плащи,17,112741.82221501146
2022-02-28,SKU_002,Жакеты,35,482606.94090331806
2022-02-28,SKU_003,Пуховики,134,742054.3784280347
2022-02-28,SKU_004,Жакеты,41,427218.8342485461
2022-02-28,SKU_005,Жакеты,34,68230.00663192959
2022-02-28,SKU_006,Куртки,106,697839.8840284849
2022-02-28,SKU_007,Пуховики,134,798928.9517112866
2022-02-28,SKU_008,Пуховики,122,505144.18308470555
2022-02-28,SKU_009,Пуховики,116,1037406.8444181666
2022-02-28,SKU_010,Жакеты,41,340414.374734338
2022-02-28,SKU_011,Плащи,28,308046.7159720584
2022-02-28,SKU_012,Пуховики,129,709804.4837801205
2022-02-28,SKU_013,Жакеты,46,237987.06230416897
2022-02-28,SKU_014,Куртки,113,473219.54095203493
2022-02-28,SKU_015,Плащи,36,174381.6547601969
2022-02-28,SKU_016,Куртки,108,999575.210832347
2022-02-28,SKU_017,Плащи,25,181246.75559386326
2022-02-28,SKU_018,Жакеты,41,116587.56770908716
2022-02-28,SKU_019,Пальто,101,535390.9384957945
2022-02-28,SKU_020,Плащи,33,171909.8309577599
2022-02-28,SKU_021,Куртки,129,1425702.265552325
2022-02-28,SKU_022,Жакеты,45,506678.29510579864
2022-02-28,SKU_023,Плащи,28,109903.64250303757
2022-02-28,SKU_024,Пальто,100,1497062.6305636244
2022-02-28,SKU_025,Пальто,91,497601.9398876622
2022-02-28,SKU_026,Пуховики,133,1954567.2586346567
2022-02-28,SKU_027,Пуховики,110,807782.9290450707
2022-02-28,SKU_028,Куртки,118,286699.82426944125
2022-02-28,SKU_029,Плащи,32,207549.6391791001
2022-02-28,SKU_030,Плащи,28,286903.8894712964
2022-02-28,SKU_031,Пуховики,115,1247654.6500743765
2022-02-28,SKU_032,Плащи,26,231455.8891611921
2022-02-28,SKU_033,Плащи,29,226814.25304405554
2022-02-28,SKU_034,Пальто,81,744196.4227921084
2022-02-28,SKU_035,Пуховики,103,999620.913274508
2022-02-28,SKU_036,Жакеты,43,131197.00941998782
2022-02-28,SKU_037,Пуховики,131,891521.5386725718
2022-02-28,SKU_038,Жакеты,52,267700.1182755399
2022-02-28,SKU_039,Пальто,87,1082351.0644656622
2022-02-28,SKU_040,Куртки,113,916871.6320012304
2022-02-28,SKU_041,Плащи,32,473104.0266122547
2022-02-28,SKU_042,Пальто,98,704102.3396743606
2022-02-28,SKU_043,Плащи,32,403635.6592592637
2022-02-28,SKU_044,Куртки,129,1596824.7745990923
2022-02-28,SKU_045,Куртки,108,427607.431727463
2022-02-28,SKU_046,Пальто,105,903691.3302510811
2022-02-28,SKU_047,Куртки,120,1325467.9785937755
2022-02-28,SKU_048,Жакеты,43,565822.5718908694
2022-02-28,SKU_049,Куртки,133,829582.9470940587
2022-02-28,SKU_050,Плащи,29,141030.8749322117
2022-02-28,SKU_051,Плащи,29,326103.3737291327
2022-02-28,SKU_052,Плащи,26,325611.3535952238
2022-02-28,SKU_053,Плащи,18,117587.84102626466
2022-02-28,SKU_054,Жакеты,45,146263.28238848117
2022-02-28,SKU_055,Пуховики,115,1636082.280411958
2022-02-28,SKU_056,Пальто,95,681001.4460430901
2022-02-28,SKU_057,Плащи,35,305576.86449000344
2022-02-28,SKU_058,Куртки,125,1611278.922099408
2022-02-28,SKU_059,Плащи,31,334303.11716683017
2022-02-28,SKU_060,Куртки,104,1202012.1932135238
2022-02-28,SKU_061,Куртки,124,585023.4526291945
2022-02-28,SKU_062,Плащи,32,289242.3571122674
2022-02-28,SKU_063,Жакеты,45,497033.87361687305
2022-02-28,SKU_064,Куртки,116,576653.4328703278
2022-02-28,SKU_065,Куртки,117,500106.44411291886
2022-02-28,SKU_066,Плащи,28,413509.2769719146
2022-02-28,SKU_067,Куртки,126,1098249.5899019216
2022-02-28,SKU_068,Куртки,120,646893.5127354381
2022-02-28,SKU_069,Плащи,31,463490.2410024435
2022-02-28,SKU_070,Плащи,25,363761.2891688579
2022-02-28,SKU_071,Пальто,88,814687.7109265197
2022-02-28,SKU_072,Жакеты,46,619816.5332272252
2022-02-28,SKU_073,Жакеты,36,160314.92670376552
2022-02-28,SKU_074,Куртки,109,613160.7066231217
2022-02-28,SKU_075,Жакеты,46,510813.9823237172
2022-02-28,SKU_076,Куртки,135,1755890.304628227
2022-02-28,SKU_077,Пальто,98,1286957.1478526897
2022-02-28,SKU_078,Плащи,18,130654.90174659248
2022-02-28,SKU_079,Плащи,20,270820.22567784955
2022-02-28,SKU_080,Плащи,37,483296.58385717357
2022-02-28,SKU_081,Жакеты,38,538203.687145148
2022-02-28,SKU_082,Пальто,80,976754.2771585013
2022-02-28,SKU_083,Жакеты,41,438570.7397626838
2022-02-28,SKU_084,Жакеты,38,362859.1909896086
2022-02-28,SKU_085,Пальто,87,595051.8089813314
2022-02-28,SKU_086,Пальто,81,1151960.5149080406
2022-02-28,SKU_087,Пальто,93,1363159.5786371785
2022-02-28,SKU_088,Пальто,88,500805.59509966074
2022-02-28,SKU_089,Плащи,37,220880.01682565323
2022-02-28,SKU_090,Пуховики,120,997557.4555945136
2022-02-28,SKU_091,Пуховики,124,970859.7184938308
2022-02-28,SKU_092,Пальто,106,1582362.383477711
2022-02-28,SKU_093,Пуховики,123,527304.4790310753
2022-02-28,SKU_094,Пуховики,131,292782.344237232
2022-02-28,SKU_095,Пальто,82,690490.7003855413
2022-02-28,SKU_096,Пуховики,121,523288.12160515017
2022-02-28,SKU_097,Жакеты,43,290856.0505818187
2022-02-28,SKU_098,Куртки,130,1517648.1839655903
2022-02-28,SKU_099,Куртки,106,1205455.2156194341
2022-02-28,SKU_100,Пальто,85,510407.1749968901
2022-02-28,SKU_101,Плащи,27,244431.62092476967
2022-02-28,SKU_102,Пальто,86,740854.1379057337
2022-02-28,SKU_103,Плащи,30,308169.7210924992
2022-02-28,SKU_104,Куртки,129,678024.4698015646
2022-02-28,SKU_105,Пальто,84,812138.9655361138
2022-02-28,SKU_106,Жакеты,44,647926.7149333052
2022-02-28,SKU_107,Пуховики,120,999317.7586167499
2022-02-28,SKU_108,Плащи,32,440937.09569091845
2022-02-28,SKU_109,Пуховики,116,887066.7031897265
2022-02-28,SKU_110,Пуховики,130,851632.5090040019
2022-02-28,SKU_111,Пальто,104,1080179.7454653238
2022-02-28,SKU_112,Пуховики,133,1422569.6991574992
2022-02-28,SKU_113,Жакеты,42,555835.4905292591
2022-02-28,SKU_114,Пуховики,113,564142.1590468448
2022-02-28,SKU_115,Пальто,90,764056.2544651601
2022-02-28,SKU_116,Жакеты,41,386878.2381784946
2022-02-28,SKU_117,Куртки,132,1582838.6885496262
2022-02-28,SKU_118,Пуховики,128,328556.67619937775
2022-02-28,SKU_119,Пальто,110,1642207.2304401977
2022-02-28,SKU_120,Куртки,114,924457.7697345775
2022-02-28,SKU_121,Куртки,99,557794.1598924282
2022-02-28,SKU_122,Плащи,21,283193.8680786887
2022-02-28,SKU_123,Жакеты,47,550856.1708513199
2022-02-28,SKU_124,Пуховики,139,2000200.8275722836
2022-02-28,SKU_125,Пальто,85,535479.0866609176
2022-02-28,SKU_126,Плащи,26,238834.5587903956
2022-02-28,SKU_127,Жакеты,51,481429.90706026583
2022-02-28,SKU_128,Плащи,33,486562.2494141836
2022-02-28,SKU_129,Жакеты,52,154934.06906014268
2022-02-28,SKU_130,Жакеты,35,209092.14377566776
2022-02-28,SKU_131,Пуховики,109,488520.93114004034
2022-02-28,SKU_132,Жакеты,44,241567.61814116966
2022-02-28,SKU_133,Плащи,31,257567.7893333552
2022-02-28,SKU_134,Жакеты,38,260107.31234446037
2022-02-28,SKU_135,Пуховики,118,841456.7100857303
2022-02-28,SKU_136,Пуховики,138,1790518.3744630027
2022-02-28,SKU_137,Плащи,31,436796.78442876524
2022-02-28,SKU_138,Куртки,118,344018.34472320037
2022-02-28,SKU_139,Куртки,117,551765.3694929628
2022-02-28,SKU_140,Жакеты,42,450444.3601859316
2022-02-28,SKU_141,Пальто,96,639591.1830576125
2022-02-28,SKU_142,Жакеты,36,190948.58776463772
2022-02-28,SKU_143,Плащи,24,140130.6635867089
2022-02-28,SKU_144,Плащи,24,148635.83844244335
2022-02-28,SKU_145,Плащи,28,364915.8053525815
2022-02-28,SKU_146,Плащи,34,128386.62849737675
2022-02-28,SKU_147,Плащи,33,370122.81767444086
2022-02-28,SKU_148,Пуховики,116,1065652.525177125
2022-02-28,SKU_149,Куртки,106,620590.9779466663
2022-02-28,SKU_150,Плащи,33,246085.9874154526
2022-03-31,SKU_001,Плащи,25,165796.79737501685
2022-03-31,SKU_002,Жакеты,40,551550.7896037921
2022-03-31,SKU_003,Пуховики,82,454092.9778440213
2022-03-31,SKU_004,Жакеты,24,250079.31760890502
2022-03-31,SKU_005,Жакеты,27,54182.652325355855
2022-03-31,SKU_006,Куртки,72,474004.44952878216
2022-03-31,SKU_007,Пуховики,74,441199.5703480239
2022-03-31,SKU_008,Пуховики,84,347804.19163209235
2022-03-31,SKU_009,Пуховики,81,724396.1586023404
2022-03-31,SKU_010,Жакеты,34,282294.8473406706
2022-03-31,SKU_011,Плащи,19,209031.7001238968
2022-03-31,SKU_012,Пуховики,69,379662.86341727374
2022-03-31,SKU_013,Жакеты,47,243160.69409339002
2022-03-31,SKU_014,Куртки,68,284769.2812808706
2022-03-31,SKU_015,Плащи,24,116254.43650679792
2022-03-31,SKU_016,Куртки,82,758936.7341504857
2022-03-31,SKU_017,Плащи,30,217496.1067126359
2022-03-31,SKU_018,Жакеты,33,93838.77400975308
2022-03-31,SKU_019,Пальто,68,360461.2259179607
2022-03-31,SKU_020,Плащи,22,114606.55397183994
2022-03-31,SKU_021,Куртки,62,685221.2439088693
2022-03-31,SKU_022,Жакеты,30,337785.5300705324
2022-03-31,SKU_023,Плащи,15,58876.95134091299
2022-03-31,SKU_024,Пальто,61,913208.2046438109
2022-03-31,SKU_025,Пальто,69,377302.56980493065
2022-03-31,SKU_026,Пуховики,83,1219767.5373434324
2022-03-31,SKU_027,Пуховики,89,653569.8244091936
2022-03-31,SKU_028,Куртки,78,189513.4431611561
2022-03-31,SKU_029,Плащи,19,123232.59826259069
2022-03-31,SKU_030,Плащи,20,204931.34962235458
2022-03-31,SKU_031,Пуховики,82,889632.0113573815
2022-03-31,SKU_032,Плащи,24,213651.58999494655
2022-03-31,SKU_033,Плащи,22,172065.9850679042
2022-03-31,SKU_034,Пальто,63,578819.4399494176
2022-03-31,SKU_035,Пуховики,97,941390.5688119153
2022-03-31,SKU_036,Жакеты,29,88481.70402743365
2022-03-31,SKU_037,Пуховики,68,462774.5391582815
2022-03-31,SKU_038,Жакеты,19,97813.5047545242
2022-03-31,SKU_039,Пальто,65,808653.094141012
2022-03-31,SKU_040,Куртки,79,640998.7515760815
2022-03-31,SKU_041,Плащи,17,251336.5141377603
2022-03-31,SKU_042,Пальто,69,495745.5248727641
2022-03-31,SKU_043,Плащи,19,239658.67268518783
2022-03-31,SKU_044,Куртки,93,1151199.2561063224
2022-03-31,SKU_045,Куртки,84,332583.558010249
2022-03-31,SKU_046,Пальто,76,654100.3914198301
2022-03-31,SKU_047,Куртки,69,762144.087691421
2022-03-31,SKU_048,Жакеты,36,473711.92065282085
2022-03-31,SKU_049,Куртки,95,592559.2479243276
2022-03-31,SKU_050,Плащи,23,111852.07322209894
2022-03-31,SKU_051,Плащи,18,202408.99059049616
2022-03-31,SKU_052,Плащи,16,200376.2175970608
2022-03-31,SKU_053,Плащи,13,84924.55185230226
2022-03-31,SKU_054,Жакеты,29,94258.55976146563
2022-03-31,SKU_055,Пуховики,94,1337319.429206296
2022-03-31,SKU_056,Пальто,56,401432.4313517162
2022-03-31,SKU_057,Плащи,21,183346.11869400207
2022-03-31,SKU_058,Куртки,75,966767.3532596448
2022-03-31,SKU_059,Плащи,26,280383.2595592769
2022-03-31,SKU_060,Куртки,85,982413.8117610532
2022-03-31,SKU_061,Куртки,93,438767.58947189583
2022-03-31,SKU_062,Плащи,18,162698.82587565042
2022-03-31,SKU_063,Жакеты,30,331355.915744582
2022-03-31,SKU_064,Куртки,93,462316.9763529353
2022-03-31,SKU_065,Куртки,77,329129.88202303206
2022-03-31,SKU_066,Плащи,23,339668.33465550124
2022-03-31,SKU_067,Куртки,75,653719.993989239
2022-03-31,SKU_068,Куртки,87,468997.79673319263
2022-03-31,SKU_069,Плащи,26,388733.7505181784
2022-03-31,SKU_070,Плащи,27,392862.19230236654
2022-03-31,SKU_071,Пальто,67,620273.598091782
2022-03-31,SKU_072,Жакеты,38,512022.3535355338
2022-03-31,SKU_073,Жакеты,31,138048.96466157588
2022-03-31,SKU_074,Куртки,75,421899.56877737737
2022-03-31,SKU_075,Жакеты,24,266511.6429515046
2022-03-31,SKU_076,Куртки,68,884448.4497386625
2022-03-31,SKU_077,Пальто,55,722271.8686928361
2022-03-31,SKU_078,Плащи,31,225016.7752302426
2022-03-31,SKU_079,Плащи,26,352066.2933812044
2022-03-31,SKU_080,Плащи,24,313489.67601546395
2022-03-31,SKU_081,Жакеты,40,566530.1969948927
2022-03-31,SKU_082,Пальто,64,781403.4217268011
2022-03-31,SKU_083,Жакеты,27,288814.8774046942
2022-03-31,SKU_084,Жакеты,21,200527.44765215213
2022-03-31,SKU_085,Пальто,64,437739.26177937025
2022-03-31,SKU_086,Пальто,60,853304.0851170671
2022-03-31,SKU_087,Пальто,71,1040691.7213251579
2022-03-31,SKU_088,Пальто,58,330076.41495204915
2022-03-31,SKU_089,Плащи,19,113424.87350506517
2022-03-31,SKU_090,Пуховики,82,681664.2613229175
2022-03-31,SKU_091,Пуховики,92,720315.2750115518
2022-03-31,SKU_092,Пальто,54,806109.1387527961
2022-03-31,SKU_093,Пуховики,105,450137.9699045765
2022-03-31,SKU_094,Пуховики,92,205618.13488416295
2022-03-31,SKU_095,Пальто,62,522078.3344378483
2022-03-31,SKU_096,Пуховики,83,358949.70324981376
2022-03-31,SKU_097,Жакеты,32,216451.01438646973
2022-03-31,SKU_098,Куртки,78,910588.9103793541
2022-03-31,SKU_099,Куртки,75,852916.426145826
2022-03-31,SKU_100,Пальто,54,324258.67588037724
2022-03-31,SKU_101,Плащи,29,262537.6669191971
2022-03-31,SKU_102,Пальто,73,628864.5589199832
2022-03-31,SKU_103,Плащи,24,246535.77687399933
2022-03-31,SKU_104,Куртки,92,483552.33505227865
2022-03-31,SKU_105,Пальто,56,541425.9770240759
2022-03-31,SKU_106,Жакеты,30,441768.21472725354
2022-03-31,SKU_107,Пуховики,80,666211.8390778333
2022-03-31,SKU_108,Плащи,23,316923.5375278476
2022-03-31,SKU_109,Пуховики,97,741771.2949086506
2022-03-31,SKU_110,Пуховики,86,563387.6598026474
2022-03-31,SKU_111,Пальто,64,664725.99720943
2022-03-31,SKU_112,Пуховики,76,812896.9709471423
2022-03-31,SKU_113,Жакеты,24,317620.28030243376
2022-03-31,SKU_114,Пуховики,85,424354.72140691866
2022-03-31,SKU_115,Пальто,71,602755.4896336263
2022-03-31,SKU_116,Жакеты,25,235901.36474298453
2022-03-31,SKU_117,Куртки,85,1019252.1858084714
2022-03-31,SKU_118,Пуховики,86,220749.01682145693
2022-03-31,SKU_119,Пальто,54,806174.4585797335
2022-03-31,SKU_120,Куртки,77,624414.458504934
2022-03-31,SKU_121,Куртки,80,450742.7554686289
2022-03-31,SKU_122,Плащи,14,188795.91205245914
2022-03-31,SKU_123,Жакеты,34,398491.698062657
2022-03-31,SKU_124,Пуховики,89,1280704.127006714
2022-03-31,SKU_125,Пальто,68,428383.26932873414
2022-03-31,SKU_126,Плащи,14,128603.22396405916
2022-03-31,SKU_127,Жакеты,32,302073.66717506875
2022-03-31,SKU_128,Плащи,19,280141.9011778633
2022-03-31,SKU_129,Жакеты,28,83426.03718623066
2022-03-31,SKU_130,Жакеты,42,250910.5725308013
2022-03-31,SKU_131,Пуховики,86,385438.53282608686
2022-03-31,SKU_132,Жакеты,28,153724.84790801705
2022-03-31,SKU_133,Плащи,22,182790.04404302628
2022-03-31,SKU_134,Жакеты,43,294331.9587055736
2022-03-31,SKU_135,Пуховики,98,698836.9287152676
2022-03-31,SKU_136,Пуховики,88,1141779.8329909001
2022-03-31,SKU_137,Плащи,17,239533.72049319386
2022-03-31,SKU_138,Куртки,102,297371.78950649523
2022-03-31,SKU_139,Куртки,90,424434.8996099714
2022-03-31,SKU_140,Жакеты,30,321745.97156137973
2022-03-31,SKU_141,Пальто,64,426394.12203840836
2022-03-31,SKU_142,Жакеты,36,190948.58776463772
2022-03-31,SKU_143,Плащи,8,46710.221195569626
2022-03-31,SKU_144,Плащи,19,117670.03876693433
2022-03-31,SKU_145,Плащи,21,273686.85401443613
2022-03-31,SKU_146,Плащи,19,71745.46886618112
2022-03-31,SKU_147,Плащи,17,190669.3303171362
2022-03-31,SKU_148,Пуховики,83,762492.7550836324
2022-03-31,SKU_149,Куртки,72,421533.4944543394
2022-03-31,SKU_150,Плащи,22,164057.3249436351
2022-04-30,SKU_001,Плащи,20,132637.4379000135
2022-04-30,SKU_002,Жакеты,21,289564.16454199085
2022-04-30,SKU_003,Пуховики,76,420866.6623920197
2022-04-30,SKU_004,Жакеты,29,302179.1754440936
2022-04-30,SKU_005,Жакеты,33,66223.24173099048
2022-04-30,SKU_006,Куртки,89,585922.1667786335
2022-04-30,SKU_007,Пуховики,86,512745.44662067643
2022-04-30,SKU_008,Пуховики,87,360225.76990466705
2022-04-30,SKU_009,Пуховики,82,733339.3210542211
2022-04-30,SKU_010,Жакеты,32,265689.268085337
2022-04-30,SKU_011,Плащи,17,187028.36326874976
2022-04-30,SKU_012,Пуховики,81,445691.1874898431
2022-04-30,SKU_013,Жакеты,37,191424.3762011794
2022-04-30,SKU_014,Куртки,90,376900.5193423287
2022-04-30,SKU_015,Плащи,21,101722.63194344818
2022-04-30,SKU_016,Куртки,78,721915.430045584
2022-04-30,SKU_017,Плащи,18,130497.66402758154
2022-04-30,SKU_018,Жакеты,30,85307.9763725028
2022-04-30,SKU_019,Пальто,61,323354.9232499353
2022-04-30,SKU_020,Плащи,21,109397.16515493812
2022-04-30,SKU_021,Куртки,68,751532.9771903729
2022-04-30,SKU_022,Жакеты,28,315266.4947324969
2022-04-30,SKU_023,Плащи,25,98128.25223485497
2022-04-30,SKU_024,Пальто,65,973090.7098663559
2022-04-30,SKU_025,Пальто,61,333557.344320301
2022-04-30,SKU_026,Пуховики,77,1131591.5707884855
2022-04-30,SKU_027,Пуховики,83,609508.9373703715
2022-04-30,SKU_028,Куртки,80,194372.76221657032
2022-04-30,SKU_029,Плащи,14,90802.9671408563
2022-04-30,SKU_030,Плащи,16,163945.07969788366
2022-04-30,SKU_031,Пуховики,81,878782.8404871695
2022-04-30,SKU_032,Плащи,18,160238.69249620993
2022-04-30,SKU_033,Плащи,19,148602.44164955363
2022-04-30,SKU_034,Пальто,64,588007.0501073449
2022-04-30,SKU_035,Пуховики,72,698764.1335511124
2022-04-30,SKU_036,Жакеты,19,57970.77160418066
2022-04-30,SKU_037,Пуховики,77,524024.11051746586
2022-04-30,SKU_038,Жакеты,22,113257.74234734381
2022-04-30,SKU_039,Пальто,65,808653.094141012
2022-04-30,SKU_040,Куртки,79,640998.7515760815
2022-04-30,SKU_041,Плащи,22,325259.0182959251
